bioproject_accession,bioproject_title,project_type,sample_accession,organism,experiment_accession,platform,run_accession,spots,bases
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908735,Zaire ebolavirus,SRX993937,ILLUMINA,SRR1972660,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803992,Zaire ebolavirus,SRX994240,ILLUMINA,SRR1972963,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803992,Zaire ebolavirus,SRX824376,ILLUMINA,SRR1735213,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908512,Zaire ebolavirus,SRX994201,ILLUMINA,SRR1972924,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803980,Zaire ebolavirus,SRX824362,ILLUMINA,SRR1735199,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS804043,Zaire ebolavirus,SRX993920,ILLUMINA,SRR1972643,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS804043,Zaire ebolavirus,SRX824426,ILLUMINA,SRR1735263,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908592,Zaire ebolavirus,SRX994075,ILLUMINA,SRR1972798,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908496,Zaire ebolavirus,SRX994217,ILLUMINA,SRR1972940,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677930,Zaire ebolavirus,SRX674196,ILLUMINA,SRR1553533,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677930,Zaire ebolavirus,SRX674195,ILLUMINA,SRR1553534,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS804034,Zaire ebolavirus,SRX824416,ILLUMINA,SRR1735253,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908772,Zaire ebolavirus,SRX993896,ILLUMINA,SRR1972619,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677956,Zaire ebolavirus,SRX674248,ILLUMINA,SRR1553585,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677956,Zaire ebolavirus,SRX674247,ILLUMINA,SRR1553586,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803889,Zaire ebolavirus,SRX824272,ILLUMINA,SRR1735109,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803988,Zaire ebolavirus,SRX994112,ILLUMINA,SRR1972835,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803988,Zaire ebolavirus,SRX824371,ILLUMINA,SRR1735208,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803792,Zaire ebolavirus,SRX993894,ILLUMINA,SRR1972617,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803792,Zaire ebolavirus,SRX824175,ILLUMINA,SRR1735012,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908507,Zaire ebolavirus,SRX994206,ILLUMINA,SRR1972929,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908768,Zaire ebolavirus,SRX993900,ILLUMINA,SRR1972623,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908572,Zaire ebolavirus,SRX994130,ILLUMINA,SRR1972853,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS804023,Zaire ebolavirus,SRX824405,ILLUMINA,SRR1735242,,
